magnitude,cdi,mmi,sig,nst,dmin,gap,depth,dt,tsunami,Latitude,Longitude
6.5,0,5,650,0,0.409,20,122,2014-2,1,-15.0691,167.372
6.5,0,3,650,0,3.651,22,44.26,2014-2,1,-32.9076,-177.881
6.5,0,4,650,0,3.997,14,187,2014-1,1,-13.8633,167.249
6.5,3,4,651,0,5.194,22,371,2013-11,0,-17.1171,-176.545
7.7,1,8,912,0,8.05,23,10,2013-11,1,-60.2738,-46.4011
6.9,0,5,732,0,8.284,17,9.97,2013-11,1,-60.2627,-47.0621
6.6,6,7,723,0,0.636,31,27,2013-10,1,-30.2921,-71.5215
7.1,6,4,872,0,3.968,10,35,2013-10,1,37.1557,144.661
6.6,8,5,692,0,1.98,44,9.45,2013-10,1,26.0913,-110.321
6.8,0,6,711,0,5.79,9,35,2013-10,1,-6.4456,154.931
7.1,9,8,1092,0,3.144,12,19.04,2013-10,1,9.8796,124.117
6.6,5,6,691,0,1.984,40,40,2013-10,0,35.5142,23.2523
6.7,0,3,691,0,2.958,11,573,2013-10,0,53.1995,152.786
6.5,0,4,650,0,1.709,21,41.54,2013-9,1,-30.9255,-178.323
6.8,7,7,1005,0,7.359,17,12,2013-9,0,27.1825,65.5052
7.1,8,7,843,0,4.446,17,40,2013-9,1,-15.8385,-74.5112
7.7,5,8,2015,0,7.241,17,15,2013-9,0,26.951,65.5009
6.5,0,6,650,0,0.735,24,20,2013-9,1,51.5573,-174.767
6.5,5,3,739,0,3.276,26,402,2013-9,0,29.9377,138.833
6.5,4,5,668,0,3.097,11,112,2013-9,0,-7.44,128.221
7,5,6,758,0,0.624,53,29,2013-8,0,51.537,-175.23
6.5,9,7,690,0,0,0,8.2,2013-8,1,-41.734,174.152
6.7,4,5,715,0,3.741,22,12,2013-8,1,5.7732,-78.1999
6.5,6,7,693,229,0,20,17,2013-7,1,-41.704,174.337
7.3,0,6,820,398,0,43,11,2013-7,1,-60.857,-25.07
6.6,4,6,674,139,0,14,56,2013-7,0,-6.029,149.706
7.3,0,4,820,117,0,24,385.5,2013-7,1,-3.917,153.927
6.6,0,7,670,111,0,16,10,2013-6,1,10.701,-42.594
6.5,5,6,679,698,0,27,30,2013-6,1,11.763,-86.926
6.7,5,4,710,515,0,24,9,2013-6,0,-10.004,107.236
6.7,0,3,691,217,0,25.2,624,2013-5,1,52.235,151.444
8.3,5,5,1115,385,0,10,598.1,2013-5,1,54.892,153.221
7.4,0,6,842,626,0,16,173.7,2013-5,1,-23.009,-177.232
6.8,0,3,711,131,0,18,602.2,2013-5,0,18.728,145.288
6.5,0,6,650,264,0,16.6,10,2013-4,1,-3.898,152.127
6.6,8,8,2083,548,0,12.6,14,2013-4,0,30.308,102.888
7.2,5,7,804,770,0,10.1,110,2013-4,1,46.221,150.788
6.6,7,7,672,445,0,11,13,2013-4,1,-3.214,142.542
7.7,8,8,1421,506,0,26.6,80,2013-4,0,28.033,61.996
6.6,0,5,670,491,0,11.5,31,2013-4,1,-6.475,154.607
7,3,7,755,640,0,11.4,66,2013-4,1,-3.517,138.476
6.5,0,6,650,317,0,14.2,28,2013-3,1,-6.598,148.174
6.5,3,6,651,480,0,20.7,29,2013-3,0,50.958,157.408
6.9,5,6,736,531,0,20.7,41,2013-2,1,50.954,157.283
6.6,0,7,670,697,0,15.3,11,2013-2,1,67.631,142.508
6.6,0,6,670,421,0,16.6,18,2013-2,1,-10.994,165.741
6.9,5,5,904,562,0,23.7,145,2013-2,1,1.135,-77.393
7.1,9,6,780,334,0,16.5,21,2013-2,1,-10.928,166.018
6.8,0,7,711,400,0,17.5,12,2013-2,1,-10.838,165.969
6.7,0,6,691,387,0,26.5,11,2013-2,1,-10.997,165.655
7,0,6,754,445,0,17.5,8.8,2013-2,0,-10.499,165.588
7.1,0,5,776,550,0,18.4,10,2013-2,0,-11.183,164.882
8,8,7,993,460,0,20.9,24,2013-2,1,-10.799,165.114
6.9,6,7,814,686,0,28,107,2013-2,0,42.77,143.092
6.8,6,7,771,596,0,19.3,45,2013-1,0,-28.094,-70.653
7.5,6,6,1425,0,0,0,8.7,2013-1,0,55.228,-134.859
6.7,0,4,691,521,0,13.7,200.7,2012-12,0,-14.344,167.286
7.1,5,5,843,517,0,8.7,155,2012-12,0,-6.533,129.825
7.3,6,5,1014,918,0,14.8,31,2012-12,0,37.89,143.949
6.5,4,5,708,598,0,57.3,20,2012-11,0,14.129,-92.164
6.8,7,6,795,391,0,13.7,13.7,2012-11,0,23.005,95.885
7.4,8,7,1455,751,0,25.5,24,2012-11,0,13.988,-91.895
7.8,8,7,1726,807,0,42.7,14,2012-10,0,52.788,-132.101
6.5,6,6,745,691,0,34.4,17,2012-10,0,10.086,-85.298
6.6,3,5,675,291,0,17.7,13,2012-10,0,-4.892,134.03
7.3,7,6,1221,934,0,15.5,170,2012-9,0,1.929,-76.362
7.6,8,7,1555,703,0,34.3,35,2012-9,0,10.085,-85.315
7.6,8,5,1115,682,0,10.2,28,2012-8,0,10.811,126.638
7.3,5,5,994,417,0,37,28,2012-8,0,12.139,-88.59
6.6,4,5,678,497,0,14.6,91.1,2012-8,0,2.19,126.837
7.7,7,4,941,862,0,13.8,583.2,2012-8,0,49.8,145.064
6.5,5,6,653,576,0,11.7,41,2012-7,0,-4.651,153.173
6.6,4,5,675,529,0,15.7,134.7,2012-4,0,-18.685,-174.705
6.7,0,7,691,370,0,15.4,16,2012-4,0,-1.617,134.276
6.8,6,5,732,597,0,12.6,198,2012-4,0,-5.462,147.117
6.7,0,7,691,518,0,26.9,29,2012-4,0,-32.625,-71.365
7,7,7,1000,474,0,95.9,13,2012-4,0,28.696,-113.104
6.5,7,6,1171,599,0,54.1,20,2012-4,0,18.229,-102.689
8.2,9,6,1213,341,0,14.9,25.1,2012-4,0,0.802,92.463
8.6,9,7,2048,499,0,16.6,20,2012-4,0,2.327,93.063
7.1,7,7,1496,553,0,15.2,40.7,2012-3,0,-35.2,-72.217
6.6,6,6,709,640,0,10.1,118,2012-3,0,-6.242,145.955
7.4,9,8,1752,672,0,37.9,20,2012-3,0,16.493,-98.231
6.7,7,7,833,596,0,13.4,12,2012-2,0,51.708,95.991
6.7,9,7,1551,572,0,11.1,11,2012-2,0,9.999,123.206
7.1,5,5,793,573,0,12,23,2012-2,0,-17.827,167.133
7.2,4,4,838,443,0,17,19,2012-1,0,2.433,93.21
6.6,0,7,670,545,0,17.6,15,2011-12,0,51.842,95.911
7.1,6,6,834,485,0,10.6,135,2011-12,0,-7.551,146.809
6.5,8,7,1400,578,0,38.6,59,2011-12,0,17.986,-99.789
6.9,6,7,847,474,0,46.5,24,2011-10,0,-14.438,-75.966
7.1,9,9,1096,693,0,19.7,18,2011-10,0,38.721,43.508
6.5,3,6,655,423,0,12.6,37,2011-10,0,-6.57,147.881
6.9,8,8,1562,383,0,13,50,2011-9,0,27.73,88.155
6.7,5,5,712,667,0,10.9,30,2011-9,0,40.273,142.779
6.7,5,6,915,447,0,15.3,91,2011-9,0,2.965,97.893
7,7,5,761,406,0,15.3,185.1,2011-9,0,-20.671,169.716
7,6,6,913,471,0,26.9,147,2011-8,0,-7.641,-74.525
7.1,5,6,787,564,0,12.3,28,2011-8,0,-18.311,168.218
6.5,0,5,650,322,0,15,35,2011-8,0,-18.308,168.156
7.2,8,6,813,280,0,18.4,32,2011-8,0,-18.365,168.143
6.6,3,6,674,229,0,16.6,10,2011-7,0,-3.518,144.828
7.6,3,7,893,567,0,33.5,17,2011-7,0,-29.539,-176.34
6.7,6,6,749,592,0,24.9,33,2011-6,0,39.955,142.205
6.8,4,5,734,519,0,12.5,11,2011-5,0,-20.244,168.226
6.8,5,6,719,445,0,13,79,2011-4,0,-10.375,161.2
6.6,7,7,822,586,0,10.1,11,2011-4,0,37.001,140.401
7.1,8,8,1114,446,0,17.7,42,2011-4,0,38.276,141.588
6.6,7,6,897,518,0,37.2,166.2,2011-4,0,17.208,-94.338
6.9,7,9,1154,335,0,18.2,8,2011-3,0,20.687,99.822
6.6,6,5,673,668,0,9.5,25.7,2011-3,0,39.241,142.463
6.5,0,4,650,369,0,18.7,6.8,2011-3,0,36.166,141.562
7.7,7,4,931,507,0,10.8,18.6,2011-3,0,38.058,144.59
7.9,8,7,1140,163,0,48.4,42.6,2011-3,0,36.281,141.111
9.1,9,8,2184,541,0,9.5,29,2011-3,0,38.297,142.373
7.3,5,5,972,550,0,17.4,32,2011-3,0,38.435,142.842
6.7,5,6,731,358,0,33.9,21,2011-2,0,-35.38,-72.834
6.9,7,7,988,382,0,34.7,26,2011-2,0,-36.422,-72.96
7.2,7,7,1449,372,0,25.3,68,2011-1,0,28.777,63.951
7,2,5,755,578,0,13.3,9,2011-1,0,-20.628,168.471
7.2,8,7,1054,397,0,30.1,24,2011-1,0,-38.355,-73.326
7.3,0,5,820,409,0,12,16,2010-12,0,-19.702,167.947
6.7,3,7,708,279,0,24.3,12,2010-12,0,28.412,59.18
6.6,0,6,670,306,0,18.5,33,2010-12,0,-6.001,149.977
7.8,4,7,946,379,0,23,20.1,2010-10,0,-3.487,100.082
6.7,5,5,776,352,0,50.3,13,2010-10,0,24.696,-109.156
7,8,5,772,271,0,15.1,26,2010-9,0,-4.963,133.76
7,8,8,1245,365,0,15.8,12,2010-9,0,-43.522,171.83
7.1,6,5,945,672,0,12.4,206.7,2010-8,0,-1.266,-77.306
7.3,7,7,850,405,0,20.2,25,2010-8,0,-17.541,168.069
7,4,6,757,396,0,12.7,44,2010-8,0,-5.746,150.765
6.5,5,4,659,403,0,11.1,220,2010-8,0,-5.486,146.822
7.6,5,3,902,340,0,15.1,578,2010-7,0,6.497,123.48
7.3,8,7,831,397,0,18.2,35,2010-7,0,-5.931,150.59
6.9,4,7,737,456,0,15.7,28,2010-7,0,-5.966,150.428
6.6,6,7,753,295,0,52.8,22,2010-7,0,-38.067,-73.31
6.7,5,6,696,392,0,18.7,35,2010-6,0,-10.627,161.447
6.6,0,7,670,309,0,25,10.5,2010-6,0,-2.329,136.484
7,3,7,755,307,0,18.1,18,2010-6,0,-2.174,136.543
7.5,6,5,1144,514,0,18.6,35,2010-6,0,7.881,91.936
7.2,5,6,804,327,0,11.7,31,2010-5,0,-13.698,166.643
7.2,5,6,918,611,0,20.6,38,2010-5,0,3.748,96.018
6.9,6,9,773,410,0,14.9,17,2010-4,0,33.165,96.548
6.9,4,5,740,399,0,12.1,21,2010-4,0,-10.878,161.116
7.8,0,7,936,352,0,19.2,31,2010-4,0,2.383,97.048
7.2,9,9,2910,10,0.5137,239,9.987,2010-4,0,32.2862,-115.295
6.6,5,6,701,413,0,16.7,34,2010-3,0,13.667,92.831
6.7,5,6,856,312,0,34.7,18,2010-3,0,-36.217,-73.257
6.5,6,5,810,491,0,27,32,2010-3,0,37.745,141.59
7,7,7,874,403,0,17.1,18,2010-3,0,-34.326,-71.799
6.9,7,7,1280,415,0,12.5,11,2010-3,0,-34.29,-71.891
6.8,4,6,717,401,0,23.2,26,2010-3,0,-3.762,100.991
6.6,7,7,736,255,0,27.8,18,2010-3,0,-36.665,-73.374
6.5,0,4,650,426,0,18.7,176,2010-3,0,-13.571,167.227
7.4,0,5,842,409,0,17.6,35,2010-2,0,-37.773,-75.048
8.8,8,8,1991,454,0,17.8,22.9,2010-2,0,-36.122,-72.898
7,6,6,1180,487,0,15.7,25,2010-2,0,25.93,128.425
7,9,9,1623,500,0,22.7,13,2010-1,0,18.443,-72.571
6.5,7,7,1360,51,0.3225,220,28.737,2010-1,0,40.652,-124.692
6.8,3,6,713,338,0,15,15.4,2010-1,0,-9.019,157.551
7.1,5,7,780,377,0,15,10,2010-1,0,-8.783,157.354
6.6,5,7,672,282,0,16.6,10,2010-1,0,-8.726,157.487
6.5,6,7,698,390,0,17.7,27,2009-11,0,-19.394,-70.321
7.3,0,4,820,430,0,15,595,2009-11,0,-17.239,178.331
6.6,7,6,677,305,0,20.4,18,2009-11,0,-8.207,118.631
6.8,0,6,711,424,0,21.4,34,2009-10,0,29.218,129.782
6.9,4,6,972,397,0,11,130,2009-10,0,-6.133,130.385
6.8,0,5,711,174,0,30.2,35,2009-10,0,-13.298,165.91
7.4,0,7,842,314,0,20.2,31.1,2009-10,0,-13.093,166.497
7.8,0,6,936,195,0,20.3,35,2009-10,0,-12.517,166.382
7.7,4,7,916,283,0,23.2,45,2009-10,0,-13.006,166.51
6.6,7,7,787,417,0,30.1,9,2009-10,0,-2.482,101.524
7.6,8,8,1639,498,0,14,81,2009-9,0,-0.72,99.867
8.1,7,6,1055,520,0,20.8,18,2009-9,0,-15.489,-172.095
7,7,7,1175,312,0,16.3,46,2009-9,0,-7.782,107.297
6.7,5,6,753,369,0,14.9,20,2009-8,0,-1.479,99.49
6.6,4,5,703,336,0,14.1,53,2009-8,0,32.821,140.395
7.5,7,6,1248,303,0,18.2,24,2009-8,0,14.099,92.902
7.1,5,4,1005,447,0,14.2,292,2009-8,0,33.167,137.944
6.9,5,7,1202,243,0,35,10,2009-8,0,29.039,-112.903
7.8,6,8,1165,434,0,16.8,12,2009-7,0,-45.762,166.562
6.7,5,5,693,269,0,13.8,64,2009-6,0,-5.157,153.782
7.3,7,8,1560,464,0,27.2,19,2009-5,0,16.731,-86.217
7.6,7,5,916,504,0,14,31,2009-3,0,-23.043,-174.66
7.2,3,7,802,432,0,18.6,20,2009-2,0,3.886,126.387
7.4,7,7,846,314,0,21.1,23,2009-1,0,-0.691,133.305
6.6,5,4,765,344,0,22.6,204.8,2009-1,0,36.419,70.743
7.7,5,7,918,288,0,29.8,17,2009-1,0,-0.414,132.885
7.4,9,7,848,365,0,33.7,30,2008-11,0,1.271,122.091
6.7,5,6,731,481,0,28.6,24,2008-10,0,14.423,-92.364
6.7,0,6,691,529,0,22.3,27.4,2008-10,0,39.533,73.824
6.8,0,6,711,500,0,22.2,25,2008-9,0,41.892,143.754
6.6,0,6,670,463,0,14.1,96,2008-9,0,1.885,127.363
6.9,0,6,732,531,0,14.9,110,2008-9,0,-13.501,166.967
6.7,4,7,692,325,0,28,12,2008-8,0,30.901,83.52
6.8,8,7,1046,633,0,20.2,108,2008-7,0,39.802,141.464
7,5,5,840,577,0,18.2,22,2008-7,0,37.552,142.214
6.9,5,5,825,0,0,0,25.5,2008-7,0,37.55,142.714
6.6,4,5,680,630,0,18.4,17,2008-6,0,11.005,91.824
6.9,7,8,888,654,0,17.1,7.8,2008-6,0,39.03,140.881
7.9,9,9,1870,774,0,11.3,19,2008-5,0,31.002,103.322
6.9,5,5,910,519,0,21.1,27,2008-5,0,36.164,141.526
7.3,0,6,820,486,0,13.4,33,2008-4,0,-20.071,168.892
7.2,0,7,798,532,0,25.9,10,2008-3,0,35.49,81.467
6.9,4,5,740,544,0,25.9,24,2008-3,0,13.351,125.63
6.7,5,6,696,543,0,15.1,25,2008-2,0,-2.245,99.808
6.6,4,6,674,421,0,17.7,25,2008-2,0,-2.332,99.891
7.2,4,7,832,505,0,18.4,25,2008-2,0,-2.486,99.972
6.5,4,6,654,429,0,28.3,22,2008-2,0,-2.405,99.931
7.4,5,7,914,607,0,16.4,26,2008-2,0,2.768,95.964
6.5,8,5,692,650,0,30.7,28,2008-2,0,36.345,21.863
6.9,6,6,941,645,0,30.6,29,2008-2,0,36.501,21.67
6.5,7,6,723,521,0,27.6,83,2008-2,0,16.357,-94.304
6.6,7,6,808,461,0,18.8,20,2007-12,0,-39.011,178.291
6.7,5,7,704,481,0,30.3,45,2007-12,0,-22.954,-70.182
7.4,7,7,1542,663,0,13.4,156,2007-11,0,14.944,-61.274
6.6,3,6,672,280,0,26.9,16,2007-11,0,-10.95,162.149
6.5,5,7,653,272,0,27.6,18,2007-11,0,-8.224,118.467
6.5,7,7,657,353,0,27.5,20,2007-11,0,-8.292,118.37
6.8,6,6,722,341,0,15.9,53,2007-11,0,-5.757,147.098
6.8,7,6,790,649,0,27,122.9,2007-11,0,-2.312,-77.838
6.8,6,7,716,285,0,40.1,26,2007-11,0,-22.925,-70.237
7.7,8,7,995,610,0,22.4,40,2007-11,0,-22.247,-69.89
6.8,3,5,713,494,0,23.9,21,2007-10,0,-3.899,101.02
6.8,4,7,744,338,0,19,18,2007-10,0,-44.796,167.553
6.8,4,5,713,348,0,15.5,40,2007-9,0,-4.99,153.5
6.7,3,5,696,503,0,26.9,30,2007-9,0,-1.999,100.141
7,4,7,768,537,0,23.1,22,2007-9,0,-2.13,99.627
6.5,0,5,650,409,0,26.2,28.9,2007-9,0,-1.689,99.668
7.9,8,7,1133,446,0,29.1,35,2007-9,0,-2.625,100.841
7.8,7,8,1152,0,0,0,40.5,2007-9,0,-2.52,100.139
8.4,0,6,1086,411,0,32.3,34,2007-9,0,-4.438,101.367
6.8,5,6,747,653,0,17.6,15,2007-9,0,2.966,-77.963
7.2,0,5,798,312,0,21.3,35,2007-9,0,-11.61,165.762
6.5,5,6,675,382,0,12.8,15,2007-8,0,-9.834,159.465
8,9,8,1385,625,0,25.7,39,2007-8,0,-13.386,-76.603
7.5,0,5,865,228,0,30.7,280,2007-8,0,-5.859,107.419
7.2,7,7,803,494,0,20.4,120,2007-8,0,-15.595,167.68
6.9,3,5,734,374,0,24.1,25,2007-7,0,2.872,127.464
6.8,5,4,779,664,0,18.2,350.4,2007-7,0,36.808,134.85
6.6,8,8,831,782,0,16.7,12,2007-7,0,37.535,138.446
6.7,6,6,972,468,0,37.7,23,2007-6,0,13.554,-90.618
6.9,0,7,732,305,0,15.3,10,2007-4,0,-7.306,155.741
6.6,0,7,670,251,0,16,10,2007-4,0,-7.169,155.777
8.1,9,8,1025,439,0,14.7,24,2007-4,0,-8.466,157.043
6.7,7,8,782,493,0,23.9,8,2007-3,0,37.336,136.588
7.1,3,6,779,426,0,25.3,34,2007-3,0,-20.617,169.357
6.7,0,6,691,253,0,40.3,12,2007-2,0,-1.034,126.976
7.5,6,5,874,570,0,21.6,22,2007-1,0,1.065,126.282
8.1,4,5,1034,606,0,14,10,2007-1,0,46.243,154.524
6.9,6,7,798,466,0,31.6,10,2006-12,0,21.974,120.493
7.1,8,7,1023,744,0,29.1,10,2006-12,0,21.799,120.547
8.3,4,7,1064,576,0,20.9,10,2006-11,0,46.592,153.266
6.6,0,6,670,352,0,18.6,11,2006-11,0,-6.482,151.195
6.7,5,6,732,444,0,53.4,23,2006-10,0,-13.457,-76.677
6.7,5,6,692,533,0,15.6,32,2006-10,0,-5.881,150.982
6.7,8,9,1481,43,0,124,38.182,2006-10,0,19.877,-155.935
6.9,3,3,737,702,0,20.9,28,2006-9,0,-16.592,-172.033
6.8,0,6,711,459,0,28.4,38,2006-9,0,-6.759,155.512
6.5,0,6,650,700,0,47.4,43,2006-8,0,51.148,157.522
6.8,5,5,713,551,0,26.2,150,2006-8,0,-15.798,167.789
7.7,7,5,947,357,0,36.8,20,2006-7,0,-9.284,107.419
6.5,0,6,650,477,0,20.3,34,2006-5,0,-5.724,151.133
6.6,0,7,670,548,0,28,19,2006-5,0,60.772,165.743
6.8,4,5,719,701,0,16.3,12,2006-5,0,0.093,97.05
8,7,7,1013,626,0,20.7,55,2006-5,0,-20.187,-174.123
8,8,9,1026,0,0,0,60.5,2006-5,0,-19.99,-173.907
6.5,7,7,653,282,0,46.3,12,2006-4,0,-27.211,-71.056
6.7,6,7,696,277,0,25.6,12,2006-4,0,-27.017,-71.022
6.6,0,8,670,645,0,28.4,11,2006-4,0,60.491,167.516
7.6,0,8,889,579,0,18.5,22,2006-4,0,60.949,167.089
6.5,3,5,654,247,0,25.5,14,2006-4,0,-16.527,176.989
6.7,0,7,691,306,0,21.3,30.1,2006-3,0,-3.595,127.214
7,5,9,891,412,0,23.2,11,2006-2,0,-21.324,33.583
6.7,7,6,934,769,0,19.7,66,2006-1,0,36.311,23.212
6.6,7,6,703,323,0,48.2,14,2006-1,0,28.164,-112.117
6.5,6,5,721,529,0,20.5,224.6,2005-12,0,36.357,71.093
6.8,5,7,744,561,0,20,22,2005-12,0,-6.224,29.83
6.5,4,5,683,464,0,48.8,29,2005-12,0,38.089,142.122
6.5,3,6,651,358,0,20.7,21,2005-11,0,2.164,96.786
6.8,0,6,711,509,0,30.1,147,2005-11,0,-22.361,-67.895
7.6,9,9,1267,724,0,21.1,26,2005-10,0,34.539,73.588
6.6,0,6,670,402,0,17.7,25,2005-9,0,-5.437,151.84
7.5,8,7,1018,696,0,26.2,115,2005-9,0,-5.678,-76.398
7.6,5,7,891,502,0,20,90,2005-9,0,-4.539,153.474
7.2,7,7,1104,698,0,19.6,36,2005-8,0,38.276,142.039
7.2,4,5,808,636,0,26.4,16,2005-7,0,7.92,92.19
6.7,3,6,693,398,0,22.3,21,2005-7,0,1.819,97.082
6.6,6,5,719,446,0,21.1,27,2005-7,0,11.245,-86.172
7.2,5,4,1318,420,0,31.4,16,2005-6,0,41.292,-125.953
7.8,8,7,1020,714,0,16.1,115.6,2005-6,0,-19.987,-69.197
6.9,5,7,740,635,0,26,30,2005-5,0,1.989,97.041
6.7,6,5,731,695,0,20.9,34,2005-5,0,0.587,98.459
6.5,3,6,657,478,0,21.2,30,2005-4,0,-1.714,99.779
6.7,5,6,717,656,0,21.2,19,2005-4,0,-1.644,99.607
8.6,0,8,1138,510,0,22.1,30,2005-3,0,2.085,97.108
6.6,8,7,805,401,0,22.9,10,2005-3,0,33.807,130.131
7.1,0,5,776,569,0,18.1,201.7,2005-3,0,-6.527,129.933
6.8,0,6,711,444,0,33.8,36,2005-2,0,2.908,95.592
6.5,0,7,650,371,0,31.8,10,2005-2,0,-5.562,122.129
6.5,3,5,652,286,0,47.3,39.7,2005-2,0,4.756,126.421
6.7,0,4,691,457,0,30.2,206.3,2005-2,0,-14.252,167.259
7.1,7,3,782,640,0,26.4,525,2005-2,0,5.293,123.337
6.6,6,4,676,225,0,78.5,27.8,2005-1,0,34.064,141.491
6.6,0,5,670,353,0,31.9,16.1,2004-12,0,8.879,92.375
7.2,5,6,802,385,0,27.9,39.2,2004-12,0,6.91,92.958
9.1,0,8,1274,601,0,22,30,2004-12,0,3.295,95.982
8.1,0,5,1009,331,0,59.3,10,2004-12,0,-49.312,161.345
6.8,5,6,858,639,0,21.8,10,2004-12,0,18.958,-81.409
6.8,4,7,724,759,0,23.6,35,2004-12,0,42.9,145.228
7,4,7,771,929,0,23.9,39,2004-11,0,43.006,145.119
7.1,0,7,776,439,0,28.8,10,2004-11,0,-3.609,135.404
7.1,5,5,782,585,0,14.7,10,2004-11,0,-46.676,164.721
7.2,8,8,820,708,0,50.2,15,2004-11,0,4.695,-77.508
7.5,5,7,870,301,0,33.8,10,2004-11,0,-8.152,124.868
6.7,0,6,691,233,0,21.5,10,2004-11,0,-11.128,162.208
6.7,7,4,703,459,0,37.3,10,2004-11,0,49.277,-128.772
6.6,0,8,670,782,0,37,16,2004-10,0,37.226,138.779
6.7,5,6,705,698,0,24.7,94,2004-10,0,24.53,122.694
7,0,6,754,441,0,32.2,35,2004-10,0,11.422,-86.665
6.5,5,5,665,526,0,18.3,105,2004-10,0,13.925,120.534
6.8,0,6,711,545,0,15.7,36,2004-10,0,-10.951,162.161
6.6,0,4,670,478,0,29.8,10,2004-9,0,33.205,137.227
7.4,0,5,842,594,0,27.5,10,2004-9,0,33.184,137.071
7.2,0,5,798,643,0,28.4,14,2004-9,0,33.07,136.618
6.5,0,7,650,349,0,30.1,5,2004-8,0,-35.173,-70.525
6.5,0,7,650,305,0,39,13.4,2004-7,0,-0.443,133.091
6.9,0,5,732,798,0,31.2,188.6,2004-6,0,55.682,160.003
6.6,0,7,670,282,0,46.9,21,2004-5,0,-37.695,-73.406
6.7,0,5,691,386,0,27.6,65.8,2004-4,0,-9.362,122.839
6.5,0,4,650,424,0,29.9,228.4,2004-4,0,-13.174,167.198
6.6,0,4,670,728,0,18.3,187.1,2004-4,0,36.512,71.029
6.7,0,7,691,256,0,33.3,25.7,2004-2,0,-3.665,135.339
7.3,0,7,820,390,0,23,10,2004-2,0,-4.003,135.023
7,0,7,754,367,0,33,16.6,2004-2,0,-3.615,135.538
6.7,0,6,691,243,0,42.5,17.4,2004-1,0,-3.12,127.4
7.3,0,4,820,235,0,46.6,10,2003-12,0,-22.015,169.766
6.6,0,9,670,552,0,44.8,10,2003-12,0,28.995,58.311
6.5,0,6,650,405,0,48.4,33,2003-12,0,8.416,-82.824
6.5,7,9,1390,65,0.04685,71,8.382,2003-12,0,35.7005,-121.101
6.8,0,7,711,447,0,27.7,10,2003-12,0,23.039,121.362
6.6,0,6,670,384,0,25.1,35,2003-11,0,-5.581,150.88
6.5,0,6,650,487,0,45.9,35,2003-11,0,12.025,125.416
6.6,0,5,670,475,0,26.2,113.7,2003-11,0,-19.262,168.892
7,0,5,754,568,0,61.2,10,2003-10,0,37.812,142.619
6.7,0,6,691,556,0,55.4,32,2003-10,0,42.648,144.57
6.7,0,7,691,643,0,24.5,10,2003-10,0,50.211,87.721
6.5,0,5,650,586,0,71.3,25,2003-9,0,42.45,144.38
7.3,0,7,820,667,0,24.5,16,2003-9,0,50.038,87.813
7.4,0,7,842,514,0,78.8,33,2003-9,0,41.774,143.593
8.16,0,9,1024,0,0,0,27,2003-9,0,41.815,143.91
6.6,0,7,670,518,0,24.7,10,2003-9,0,19.917,95.672
7.2,0,7,798,428,0,17.5,28,2003-8,0,-45.104,167.144
7.6,0,6,889,315,0,25.2,10,2003-8,0,-60.532,-43.411
6.5,0,6,650,156,0,31.4,33,2003-7,0,-3.828,152.174
6.8,0,7,711,398,0,39.1,33,2003-6,0,-30.608,-71.637
6.9,0,5,732,733,0,26.7,174.8,2003-6,0,55.492,159.999
6.6,0,6,670,419,0,27.8,33,2003-6,0,-5.095,152.502
7,0,6,754,473,0,30.3,31,2003-5,0,2.354,128.855
7,0,7,754,690,0,19.1,68,2003-5,0,38.849,141.568
6.8,0,9,711,534,0,19.4,12,2003-5,0,36.964,3.634
6.5,0,7,650,247,0,28.7,33,2003-3,0,-8.294,120.743
6.8,0,7,711,431,0,38.4,40.2,2003-3,0,-4.694,153.238
7.6,0,7,889,551,0,0,24,2003-1,0,18.77,-104.104
6.5,0,6,650,316,0,0,24,2003-1,0,13.626,-90.774
7.3,0,6,820,457,0,0,33,2003-1,0,-10.491,160.77
6.7,0,5,691,323,0,0,71.9,2003-1,0,-5.311,153.701
6.7,0,6,691,453,0,0,34,2002-12,0,-4.786,153.275
7.9,8,9,1750,0,0,0,4.2,2002-11,0,63.5141,-147.453
7.4,0,7,842,418,0,0,30,2002-11,0,2.824,96.085
6.6,0,7,670,0,0,0,4.2,2002-10,0,63.5144,-147.912
6.7,0,7,691,250,0,0,10,2002-10,0,-1.511,133.973
7.6,0,7,889,375,0,0,10,2002-10,0,-1.757,134.297
6.5,0,6,650,646,0,0,21,2002-9,0,13.036,93.068
7.6,0,7,889,428,0,0,13,2002-9,0,-3.302,142.945
6.5,0,4,650,260,0,0,30,2002-8,0,14.101,146.199
6.5,0,7,650,533,0,0,10,2002-7,0,7.929,-82.793
6.5,0,8,650,555,0,0,10,2002-6,0,35.626,49.047
6.6,0,7,670,420,0,0,54,2002-6,0,-30.805,-71.124
6.7,0,5,691,272,0,0,33,2002-6,0,-12.592,166.383
7.1,0,7,776,257,0,0,85.7,2002-4,0,13.088,144.619
6.7,0,7,691,462,0,0,62,2002-4,0,-27.535,-70.586
6.8,0,6,711,292,0,0,24.9,2002-4,0,16.985,-100.865
7.1,0,6,776,550,0,0,32.8,2002-3,0,24.279,122.179
6.5,0,5,650,486,0,0,125.1,2002-3,0,-21.663,-68.329
7.5,0,7,865,321,0,0,31,2002-3,0,6.033,124.249
7.4,0,5,842,138,0,0,225.6,2002-3,0,36.502,70.482
6.6,0,6,670,444,0,0,39,2002-2,0,-5.345,151.248
6.5,0,7,650,482,0,0,5,2002-2,0,38.573,31.271
