magnitude,cdi,mmi,sig,nst,dmin,gap,depth,dt,tsunami,Latitude,Longitude
6.9,4,3,740,0,4.778,31,535,2021-10,1,-21.1704,174.54
7.3,4,4,826,0,4.493,32,527,2021-10,1,-21.1036,174.895
6.5,7,5,684,0,0.993,114,21,2021-9,1,12.1598,-87.8542
7,8,8,2504,0,0.07,43,20,2021-9,1,16.9502,-99.7877
7.1,1,4,776,0,9.799,32,6,2021-8,1,-60.3026,-24.9992
6.6,1,3,670,0,8.865,19,7,2021-8,1,-60.1023,-24.4608
6.9,8,7,741,0,0.579,54,93,2021-8,1,-14.892,167.085
6.9,6,4,734,0,8.363,48,16.7,2021-8,1,-58.3814,-23.3318
7.2,9,8,2331,0,1.178,23,10,2021-8,1,18.3521,-73.4804
6.9,5,4,738,0,0,0,33.3,2021-8,1,55.2364,-157.707
6.9,5,4,738,0,1.173,36,20.74,2021-8,1,55.2657,-157.68
8.1,0,7,1009,0,7.463,78,22.79,2021-8,0,-58.4157,-25.3206
7.5,9,6,868,0,7.227,38,47.23,2021-8,1,-57.5959,-25.1874
7.1,9,7,846,0,1.273,25,55.14,2021-8,1,6.4547,126.742
8.2,8,6,1237,0,0.875,66,46.66,2021-7,1,55.4742,-157.917
8.2,8,7,1252,0,0,0,35,2021-7,1,55.3154,-157.829
6.7,8,5,935,0,8.139,12,110,2021-7,1,13.6989,120.713
6.7,6,6,830,0,1.395,61,10,2021-7,1,7.5904,-82.8813
6.5,0,4,650,0,7.994,24,25,2021-6,1,-30.2144,-177.773
6.5,5,7,652,0,4.518,44,10,2021-5,1,-16.4796,-177.356
7.3,9,9,1025,0,4.655,9,10,2021-5,0,34.5861,98.2551
6.7,8,4,698,0,1.487,37,11,2021-5,0,0.1684,96.6475
6.7,9,3,694,0,10.669,45,10,2021-5,0,-17.2495,66.3745
6.9,7,6,919,0,2.619,35,43,2021-5,1,38.2296,141.665
6.5,4,4,651,0,5.931,20,246,2021-4,0,-21.6857,-177.064
6.5,6,4,652,0,10.405,19,301,2021-4,0,-18.9204,-176.235
7,7,7,1052,0,2.378,35,43,2021-3,1,38.4752,141.607
6.6,5,5,672,0,3.183,18,13.23,2021-3,1,54.7018,163.208
6.5,0,4,650,0,11.764,25,24,2021-3,0,-28.4792,-176.619
8.1,9,8,1021,0,0.739,21,28.93,2021-3,1,-29.7466,-177.224
7.4,3,7,843,0,0.437,30,43,2021-3,1,-29.6131,-177.842
7.3,7,6,932,0,0.918,24,10,2021-3,1,-37.596,179.544
7.1,9,8,1612,0,3.085,11,43.98,2021-2,1,37.6856,141.992
7.7,9,4,918,0,7.989,15,10,2021-2,1,-23.2787,171.489
6.9,9,5,739,0,1.55,16,15,2021-1,1,-61.8484,-55.559
7,7,5,802,0,2.821,15,80,2021-1,1,5.0074,127.517
6.7,8,8,776,0,2.043,22,10,2021-1,0,51.2407,100.443
6.7,5,5,776,0,1.319,19,10,2020-12,1,-39.3264,-74.9067
7,8,7,1527,0,1.518,18,21,2020-10,0,37.8973,26.7953
7.6,9,7,1165,0,0.23,36,28.37,2020-10,1,54.662,-159.675
6.9,0,3,732,0,11.255,16,10,2020-9,1,0.9604,-26.8332
6.5,6,6,674,0,0.388,49,16,2020-9,0,-27.9285,-71.3937
6.8,6,7,824,0,0.312,69,21,2020-9,1,-28.013,-71.1958
6.5,4,5,651,0,15.394,31,10,2020-8,0,0.8696,-29.7046
6.9,4,3,749,0,2.267,20,624,2020-8,0,-6.6704,123.493
6.9,4,4,735,0,1.716,25,26,2020-8,0,-4.2791,101.215
6.8,5,4,716,0,1.816,34,22,2020-8,0,-4.3724,101.095
6.6,9,8,784,0,5.128,14,10,2020-8,1,12.0065,124.13
7.8,9,7,1111,0,0.621,60,28,2020-7,1,55.1079,-158.477
7,6,7,820,0,1.671,18,73,2020-7,1,-7.847,147.755
6.6,4,2,684,0,1.458,14,533.76,2020-7,0,-5.6368,110.678
7.4,8,8,1494,0,0.151,30,20,2020-6,1,15.9163,-95.9533
7.4,7,7,873,0,4.035,23,10,2020-6,1,-33.2938,-177.838
6.6,5,4,734,0,2.015,18,165,2020-6,1,28.9386,128.262
6.8,6,6,835,0,1.164,21,112,2020-6,1,-23.2966,-68.4204
6.5,7,8,1320,27,0.357,55.79,2.7,2020-5,0,38.1689,-117.85
6.6,4,6,671,0,3.403,12,107,2020-5,1,-12.0662,166.648
6.8,4,6,738,0,1.921,16,96,2020-5,0,-6.7762,129.785
