dt,AverageTemperature,AverageTemperatureUncertainty,City,LatitudeAndLongitude
2000-03-01T00:00:00Z,29.061,0.224,Abidjan,"5.63,-3.23"
2000-04-01T00:00:00Z,28.162,0.478,Abidjan,"5.63,-3.23"
2000-05-01T00:00:00Z,27.547,0.509,Abidjan,"5.63,-3.23"
2000-06-01T00:00:00Z,25.812,0.231,Abidjan,"5.63,-3.23"
2000-07-01T00:00:00Z,24.87,0.41,Abidjan,"5.63,-3.23"
2000-08-01T00:00:00Z,24.884,0.922,Abidjan,"5.63,-3.23"
2000-09-01T00:00:00Z,25.405,0.956,Abidjan,"5.63,-3.23"
2000-10-01T00:00:00Z,26.074,0.341,Abidjan,"5.63,-3.23"
2000-11-01T00:00:00Z,27.315,0.232,Abidjan,"5.63,-3.23"
2000-12-01T00:00:00Z,26.929,0.331,Abidjan,"5.63,-3.23"
2001-01-01T00:00:00Z,26.92,1.032,Abidjan,"5.63,-3.23"
2001-02-01T00:00:00Z,28.234,0.477,Abidjan,"5.63,-3.23"
2001-03-01T00:00:00Z,28.706,0.426,Abidjan,"5.63,-3.23"
2001-04-01T00:00:00Z,27.701999999999998,0.58,Abidjan,"5.63,-3.23"
2001-05-01T00:00:00Z,27.653000000000002,0.228,Abidjan,"5.63,-3.23"
2001-06-01T00:00:00Z,25.94,0.236,Abidjan,"5.63,-3.23"
2001-07-01T00:00:00Z,24.840999999999998,0.425,Abidjan,"5.63,-3.23"
2001-08-01T00:00:00Z,24.28,0.544,Abidjan,"5.63,-3.23"
2001-09-01T00:00:00Z,24.796999999999997,0.348,Abidjan,"5.63,-3.23"
2001-10-01T00:00:00Z,26.278,0.747,Abidjan,"5.63,-3.23"
2001-11-01T00:00:00Z,27.374000000000002,0.465,Abidjan,"5.63,-3.23"
2001-12-01T00:00:00Z,27.598000000000003,0.7559999999999999,Abidjan,"5.63,-3.23"
2002-01-01T00:00:00Z,27.191999999999997,0.308,Abidjan,"5.63,-3.23"
2002-02-01T00:00:00Z,28.796,0.361,Abidjan,"5.63,-3.23"
2002-03-01T00:00:00Z,28.564,0.39,Abidjan,"5.63,-3.23"
2002-04-01T00:00:00Z,28.508000000000003,0.6759999999999999,Abidjan,"5.63,-3.23"
2002-05-01T00:00:00Z,27.721,0.124,Abidjan,"5.63,-3.23"
2002-06-01T00:00:00Z,25.972,0.213,Abidjan,"5.63,-3.23"
2002-07-01T00:00:00Z,25.054,0.183,Abidjan,"5.63,-3.23"
2002-08-01T00:00:00Z,24.58,0.253,Abidjan,"5.63,-3.23"
2002-09-01T00:00:00Z,25.26,0.261,Abidjan,"5.63,-3.23"
2002-10-01T00:00:00Z,26.076,0.284,Abidjan,"5.63,-3.23"
2002-11-01T00:00:00Z,27.281999999999996,0.362,Abidjan,"5.63,-3.23"
2002-12-01T00:00:00Z,27.087,0.514,Abidjan,"5.63,-3.23"
2003-01-01T00:00:00Z,27.59,0.477,Abidjan,"5.63,-3.23"
2003-02-01T00:00:00Z,28.863000000000003,0.379,Abidjan,"5.63,-3.23"
2003-03-01T00:00:00Z,28.98,0.383,Abidjan,"5.63,-3.23"
2003-04-01T00:00:00Z,28.169,0.282,Abidjan,"5.63,-3.23"
2003-05-01T00:00:00Z,27.91,0.247,Abidjan,"5.63,-3.23"
2003-06-01T00:00:00Z,25.993000000000002,0.471,Abidjan,"5.63,-3.23"
2003-07-01T00:00:00Z,25.221,0.234,Abidjan,"5.63,-3.23"
2003-08-01T00:00:00Z,24.88,0.32299999999999995,Abidjan,"5.63,-3.23"
2003-09-01T00:00:00Z,25.737,0.256,Abidjan,"5.63,-3.23"
2003-10-01T00:00:00Z,26.694000000000006,0.378,Abidjan,"5.63,-3.23"
2003-11-01T00:00:00Z,27.479,0.454,Abidjan,"5.63,-3.23"
2003-12-01T00:00:00Z,27.092,0.531,Abidjan,"5.63,-3.23"
2004-01-01T00:00:00Z,27.728,0.289,Abidjan,"5.63,-3.23"
2004-02-01T00:00:00Z,28.705,0.428,Abidjan,"5.63,-3.23"
2004-03-01T00:00:00Z,29.288,0.229,Abidjan,"5.63,-3.23"
2004-04-01T00:00:00Z,28.151999999999997,0.197,Abidjan,"5.63,-3.23"
2004-05-01T00:00:00Z,27.302,0.531,Abidjan,"5.63,-3.23"
2004-06-01T00:00:00Z,25.712,0.442,Abidjan,"5.63,-3.23"
2004-07-01T00:00:00Z,24.968000000000004,0.412,Abidjan,"5.63,-3.23"
2004-08-01T00:00:00Z,24.656,0.184,Abidjan,"5.63,-3.23"
2004-09-01T00:00:00Z,25.81,0.41,Abidjan,"5.63,-3.23"
2004-10-01T00:00:00Z,26.438,0.304,Abidjan,"5.63,-3.23"
2004-11-01T00:00:00Z,27.164,0.413,Abidjan,"5.63,-3.23"
